text_2,inventory_year,count
"Archäologie (Griechisch-römischer, vorderasiatischer und ägyptischer Kunstkreis)",2015,1
"Geographie, Geologie, Astronomie",1988,2
"Geographie, Geologie, Astronomie",1990,8
"Geographie, Geologie, Astronomie",1992,1
"Geographie, Geologie, Astronomie",1998,2
"Geographie, Geologie, Astronomie",1999,3
"Geographie, Geologie, Astronomie",2004,2
"Geographie, Geologie, Astronomie",2006,2
"Geographie, Geologie, Astronomie",2007,1
"Geographie, Geologie, Astronomie",2008,1
"Geographie, Geologie, Astronomie",2010,1
"Geographie, Geologie, Astronomie",2014,1
"Geographie, Geologie, Astronomie",2016,1
"Geographie, Geologie, Astronomie",2017,10
"Geographie, Geologie, Astronomie",2018,1
"Geographie, Geologie, Astronomie",2020,1
Historische Hilfswissenschaften,1992,3
Historische Hilfswissenschaften,1996,3
Historische Hilfswissenschaften,2011,97
Historische Hilfswissenschaften,2012,3
Historische Hilfswissenschaften,2015,4
Historische Hilfswissenschaften,2017,4
Kirchengeschichte,2023,1
"Musik-, Tanz- und Theatergeschichte",1985,8
Politische Geschichte,1991,1
Politische Geschichte,2002,1
Politische Geschichte,2022,1
Theologie und Frömmigkeit (Weltreligionen),1992,12
"Werkausgaben zur Philosophie, Pädagogik und anderen geisteswissenschaftlichen Disziplinen",2014,3
"Werkausgaben zur Philosophie, Pädagogik und anderen geisteswissenschaftlichen Disziplinen",2018,1
"Werkausgaben zur Philosophie, Pädagogik und anderen geisteswissenschaftlichen Disziplinen",2019,1
